Policy;History;Compliant;STS count;Time 1(ms);Time 2(ms);Time 3(ms);Time 4(ms);Time 5(ms);Time 6(ms);Time 7(ms);Time 8(ms);Time 9(ms);Time 10(ms)
Contr-pol-compl-ovrd-1;hist-10-2-8;true;6;2.557375;0.266042;0.233708;0.236292;0.220917;0.203792;0.183042;0.196625;0.175;0.214458
Contr-pol-compl-ovrd-1;hist-10-2-4;true;17;0.347458;0.323625;0.302;0.285458;0.280291;0.351084;0.359041;0.284833;0.264584;0.616666
Contr-pol-compl-ovrd-1;hist-10-2-5;true;16;0.355375;0.260916;0.223959;0.23125;0.212084;0.217292;0.211958;0.221583;0.217125;0.211125
Contr-pol-compl-ovrd-1;hist-10-2-9;true;19;0.262667;0.683417;0.39775;0.258084;0.223417;0.214917;2.438167;0.324291;0.195834;0.361542
Contr-pol-compl-ovrd-1;hist-10-2-2;true;16;0.163541;0.151417;0.151209;0.149;0.144416;0.151167;0.14275;0.144292;0.302167;0.180917
Contr-pol-compl-ovrd-1;hist-10-2-3;true;16;0.194416;0.191459;0.130375;0.132041;0.265083;0.221584;0.183167;0.135083;0.115542;0.136083
Contr-pol-compl-ovrd-1;hist-10-2-1;true;15;0.116083;0.15725;0.138292;0.131125;0.112;0.123417;0.11425;0.112917;0.115125;0.1045
Contr-pol-compl-ovrd-1;hist-10-2-10;true;6;0.084834;0.084209;0.089292;0.372292;0.084209;0.077542;0.098959;0.08525;0.075292;0.078625
Contr-pol-compl-ovrd-1;hist-10-2-6;true;15;0.113333;0.105208;0.10175;0.20425;0.155084;0.108667;0.269209;0.100458;0.100375;0.101208
Contr-pol-compl-ovrd-1;hist-10-2-7;true;16;0.112666;0.116833;0.204458;0.111541;0.157875;0.106875;0.098;0.096541;0.089;0.08975
Contr-pol-compl-no-exc;hist-10-2-8;true;32;2.687416;0.408417;0.44425;0.369792;0.405334;0.366084;0.338083;0.441625;0.33975;0.327084
Contr-pol-compl-no-exc;hist-10-2-4;true;32;0.32;0.322334;0.275792;0.279;0.271625;0.292542;0.277459;0.285375;0.2725;0.288625
Contr-pol-compl-no-exc;hist-10-2-5;true;32;0.273791;0.269917;0.289166;0.278792;0.293875;0.270833;0.273083;0.295167;0.28075;0.255125
Contr-pol-compl-no-exc;hist-10-2-9;true;32;0.262167;0.287333;0.281166;0.272292;0.256708;0.267333;0.270916;0.273709;0.261416;0.246625
Contr-pol-compl-no-exc;hist-10-2-2;true;32;0.26675;0.26125;0.270667;0.249834;0.454209;0.336708;0.26475;0.24675;0.240625;0.230542
Contr-pol-compl-no-exc;hist-10-2-3;true;32;0.235958;0.232375;0.208542;0.21525;0.221625;0.206917;0.213292;0.202834;0.211875;0.203542
Contr-pol-compl-no-exc;hist-10-2-1;true;32;0.231333;0.213708;0.207;0.406584;0.243417;0.226;0.164208;0.167;0.162375;0.166625
Contr-pol-compl-no-exc;hist-10-2-10;true;32;0.181958;0.183125;0.165292;0.167417;0.187542;0.16675;0.166542;0.172041;0.175917;0.1695
Contr-pol-compl-no-exc;hist-10-2-6;true;32;0.197708;0.174042;0.182792;0.168625;0.16875;0.172041;0.188625;0.19325;0.183291;0.165083
Contr-pol-compl-no-exc;hist-10-2-7;true;32;0.17525;0.172791;0.172625;0.1755;0.169125;0.1705;0.174583;0.168041;0.165625;0.163666
Contr-pol-compl-ovrd-2;hist-10-2-8;true;17;0.327833;0.064709;0.06275;0.057666;0.0575;0.063292;0.056875;0.058584;0.054792;0.053583
Contr-pol-compl-ovrd-2;hist-10-2-4;true;7;0.038792;0.036958;0.036;0.0365;0.033875;0.036625;0.043583;0.037125;0.035583;0.037
Contr-pol-compl-ovrd-2;hist-10-2-5;true;8;0.042542;0.039584;0.08325;0.043792;0.039917;0.039375;0.132083;0.056042;0.05075;0.042625
Contr-pol-compl-ovrd-2;hist-10-2-9;true;7;0.041167;0.045333;0.037667;0.03975;0.039083;0.038542;0.036584;0.048167;0.039292;0.037292
Contr-pol-compl-ovrd-2;hist-10-2-2;true;8;0.047042;0.040125;0.040375;0.042375;0.038333;0.039958;0.038625;0.038417;0.0425;0.0405
Contr-pol-compl-ovrd-2;hist-10-2-3;true;6;0.035458;0.031125;0.032541;0.057333;0.034333;0.055417;0.03675;0.033167;0.046625;0.032917
Contr-pol-compl-ovrd-2;hist-10-2-1;true;6;0.035833;0.036083;0.031875;0.032125;0.030833;0.032083;0.030916;0.030208;0.037167;0.030375
Contr-pol-compl-ovrd-2;hist-10-2-10;true;15;0.081084;0.064584;0.052917;0.052667;0.050958;0.046709;0.047208;0.046541;0.051666;0.049125
Contr-pol-compl-ovrd-2;hist-10-2-6;true;7;0.044791;0.035166;0.034416;0.032916;0.034166;0.033791;0.033208;0.032792;0.067542;0.034709
Contr-pol-compl-ovrd-2;hist-10-2-7;true;6;0.03425;0.029333;0.031042;0.030542;0.030666;0.034083;0.030792;0.034209;0.03325;0.029
